2,BNP Paribas Liquid Fund(G),2,Debt : Liquid,"The primary investment objective of the Scheme is to generate regular returns in line with investments in Debt and money market securities with maturity of upto 91 days only. However, there can be no assurance that the investment objectives of the Scheme will be realized. The Scheme does not guarantee/ indicate any returns."
15,BNP Paribas Multi Cap Fund(G),3,Equity : Multi Cap,"The investment objective is to generate long term capital growth from an actively managed portfolio of equity and equity related securities across market capitalisation. However, there can be no assurance that the investment objectives of the Scheme will be realized. The Scheme does not guarantee/ indicate any returns."
23,BNP Paribas Large Cap Fund(G),2,Equity : Large Cap,"The investment objective of the Scheme is to generate long-term capital growth from a diversified and actively managed portfolio of equity and equity related securities by predominantly investing in large market capitalization companies. However, there can be no assurance that the investment objectives of the Scheme will be realized. The Scheme does not guarantee/ indicate any returns."
116,BNP Paribas Flexi Debt Fund(G),4,Debt : Dynamic Bond,"The primary objective of the Scheme is to generate income through investments in a range of Debt and Money Market Instruments of various maturities with a view to maximise income while maintaining an optimum balance between yield, safety and liquidity."
165,BNP Paribas Short Term Fund(G),2,Debt : Short Term,The primary objective of the Scheme is to provide income consistent with the prudent risk from a portfolio comprising various debt and money market instruments.
172,BNP Paribas Mid Cap Fund(G),3,Equity : Mid Cap,"The investment objective of the Scheme seeks to generate long-term capital appreciation by investing primarily in companies with high growth opportunities in the mid capitalization segment. The fund will emphasize on companies that appear to offer opportunities for long-term growth and will be inclined towards companies that are driven by dynamic style of management and entrepreneurial flair. However, there can be no assurance that the investment objectives of the Scheme will be realized. The Scheme does not guarantee/ indicate any returns."
205,BNP Paribas Low Duration Fund(G),2,Debt : Ultra Short Term,"The primary objective of the Scheme is to provide income consistent with the prudent risk from a portfolio comprising investment in Debt & Money Market instruments such that the Macaulay duration of the portfolio is between 6 months - 12 months. However, there can be no assurance that the investment objectives of the Scheme will be realized. The Scheme does not guarantee/indicate any returns."
210,BNP Paribas Conservative Hybrid Fund-Reg(G),2,Hybrid : Debt Oriented,The primary objective of the Scheme is to generate regular returns through investment primarily in Debt and Money Market Instruments. The secondary objective of the Scheme is to generate long-term capital appreciation by investing a portion of the Scheme's assets in equity and equity related securities.
226,BNP Paribas Long Term Equity Fund(G),1,Equity : Tax Saving (ELSS),"To generate long-term capital growth from a diversified and actively managed portfolio of equity and equity related securities along with income tax rebate, as may be prevalent from time to time."
265,Kotak Corporate Bond Fund(G),4,Debt : Short Term,"The primary investment objective of the Scheme is to maximize total return by investing in a range of fi xed income securities of varying maturities and credits through an approach that emphasizes safety, diversification and flexibility."
267,Reliance ETF Bank BeES,Unrated,Equity : ETFs,"The investment objective of R*Shares Bank BeES is to provide returns that, before expenses, closely correspond to the total returns of the Securities as represented by the Nifty Bank Index. "
277,Aditya Birla SL Equity Advantage Fund(G),4,Equity : Multi Cap,"The scheme seeks to achieve long-term growth at relatively moderate levels of risk through a diversified investment approach, investing 70% in equities and the remaining in debt and money market instrument. "
287,Aditya Birla SL Short Term Opp Fund(G),4,Debt : Short Term,To generate regular income by investing primarily in investment grade fixed income securities / money market instruments with short to medium term maturities and across the credit spectrum within the universe of investment grade rating.
293,Aditya Birla SL Liquid Fund(G),1,Debt : Liquid,To provide reasonable returns at a high level of safety and liquidity through judicious investments in high quality debt and money market instruments.
301,Aditya Birla SL Dividend Yield Fund(G),2,Equity : Multi Cap,The Investment objective of the scheme are to provide capital growth and income by investing primarily in a well-diversified portfolio of dividend paying companies that have a relatively high dividend yield.
302,Aditya Birla SL Dynamic Bond Fund-Reg(G),3,Debt : Dynamic Bond,To generate optimal returns with high liquidity through active management of the portfolio by investing in high quality Debt and Money Market instruments.
304,Aditya Birla SL Tax Plan(G),3,Equity : Tax Saving (ELSS),An open-ended Equity Linked Savings Scheme (ELSS) with the objective to achieve long-term growth of capital along with income tax relief for investment.
394,Aditya Birla SL Money Manager Fund(G),2,Debt : Liquid,The primary objective of the scheme is to generate regular income through investment in a portfolio comprising substantially of floating rate debt / money market instruments. The scheme may invest a portion of its net assets in fixed rate debt securities and money market instruments.
399,Aditya Birla SL G-Sec Fund(G),5,Debt : Long Term,The scheme's aim is to generate income and capital appreciation through investments exclusively in Government Securities.
402,Aditya Birla SL Constant Maturity 10 Year Gilt Fund-Reg(G),Unrated,Debt : Long Term,The scheme's aim is to generate income and capital appreciation through investments exclusively in Government Securities.
405,Aditya Birla SL Income Fund(G),2,Debt : Long Term,An open-ended income scheme with the objective to generate consistent income through superior yields on its investments at moderate levels of risk through a diversified investment approach.
407,Aditya Birla SL Index Fund(G),2,Equity : Large Cap,"The objective of the scheme is to generate returns that are commensurate with the performance of the Nifty, subject to tracking errors."
409,Aditya Birla SL India GenNext Fund(G),4,Equity : Multi Cap,"An open-ended growth scheme with the objective to target growth of capital by investing in equity/equity related instruments of companies that are expected to benefit from the rising consumption patterns in India, which in turn is getting fuelled by high disposable incomes of the young generation (Generation Next). The scheme will invest in companies that have the following characteristics as Companies that seek growth in revenues arising out of demand from the younger generation (GenNext) for their products or services,they should be engaged inmanufacturing of products or rendering of services that go directly to the consumer, the products and services should have distinct brand identity, thereby enabling choice."
411,Aditya Birla SL India Opportunities Fund(G),2,Equity : Multi Cap,"An Open-ended growth scheme with the objective to achieve superior long-term growth of capital by investing in shares of companies that do one or more of the following: Leverage India's intellectual capital for providing services, research and creative inputs; Seek to use current and impending changes in patentlaws / import tariffs / quotas to supply goods and services; Leverage India's lower labour costs for providing services and manufactured goods; Leverage India's large population of English speaking people for providing services."
413,Aditya Birla SL Infrastructure Fund(G),4,Equity : Sector-Infrastructure,An open-end growth scheme with the objective to providing for medium to long-term capital appreciation by investing predominantly in a diversified portfolio of equity and equity related securities of companies that are participating in the growth and development of Infrastructure in India.
417,Aditya Birla SL Midcap Fund(G),3,Equity : Mid Cap,"The fund investment objective is long term growth of capital at controlled level of risk by investing primarily in Mid-Cap Stocks. The level of risk is somewhat higher than a fund focused on large and liquid stocks. Concomitantly, the aim is to generate higher returns than a fund focused on large and liquid stocks."
419,Aditya Birla SL MIP II - Savings 5 Plan(G),3,Hybrid : Debt Oriented,To generate regular income through investment in fixed income securities so as to make monthly payment or distrbutions to unit holders with the secondary objective being growth of capital.
422,Aditya Birla SL Regular Savings Fund(G),5,Hybrid : Debt Oriented,To generate regular income through investment in fixed income securities so as to make monthly payment or distrbutions to unit holders with the secondary objective being growth.
